"","year","BEN","CO","EBE","MXY","NMHC","NO_2","NOx","OXY","O_3","PM10","PXY","SO_2","TCH","TOL","station","PM25","NO","CH4"
"1",2001,3.27674557073804,0.921079716191773,3.31849839808012,6.88193623292775,0.197475848134223,62.9399394386891,139.66827601602,3.04477935091813,31.5556187135529,34.6131697422777,2.77157726418905,18.4957842759612,1.46367122774915,14.9647059331102,28079022.0437188,NA,NA,NA
"2",2002,2.34474860726064,0.760493451449543,2.52868637655412,6.48600179251065,0.175155435033061,61.662740070245,123.136828384263,2.82643301435068,32.9215422224199,33.2521718039974,2.72202874726417,13.0620615965759,1.43042804908336,11.0960746017242,28079022.2307175,NA,NA,NA
"3",2003,2.10633244450125,0.702223893211334,2.44848635670882,5.35268290513254,0.153322971343157,58.3820110672514,114.932224858094,2.54611228632934,36.9048952024826,35.5325574667386,2.21896605000044,12.3527102995707,1.44134550065044,9.59772372300489,28079022.0208828,NA,NA,NA
"4",2004,2.12511349183905,0.653950752178865,2.75403701797559,5.24029196489289,0.167868663533182,60.7512447779748,122.766114504672,2.71083168246431,33.1459124702798,33.4731255810637,2.32450240717395,11.3576851465312,1.44892774838736,10.0735700560318,28079021.9584515,19.4506630890875,NA,NA
"5",2005,1.29561036282396,0.6524421793412,1.63436883537345,4.86460597968555,0.176984190202411,61.8375506312906,119.39803924479,2.49028198324239,34.5962349110118,34.2393707374822,2.29185627791476,11.8140850238919,1.42985581637973,6.79899506162965,28079022.0192319,18.7412880574145,NA,NA
"6",2006,0.918455123196896,0.57606101055385,1.38931087616514,3.76678604615028,0.191553671614769,60.5972096476505,113.476900621019,1.94627670044316,34.67270500005,36.893719392854,1.7011217416639,10.7588287240659,1.43230580359707,5.4441237254867,28079022.0560136,18.6447436019013,NA,NA
"7",2007,0.924879581624368,0.497147092371779,1.3746256693164,2.38031272874164,0.226554791993259,60.0191597190158,111.44714717092,1.26617872729462,34.4548789726558,33.1380805699791,1.15045123088737,10.932361569092,1.43090202800528,4.85443242068159,28079021.5368094,17.3978875823873,NA,NA
"8",2008,0.893035884885467,0.412135360833238,1.27343605026837,2.44500753905827,0.192451222420819,55.3620820159107,95.3910515039837,1.48159208555768,39.0379532806258,26.615457826786,1.32009545064599,10.5651696724375,1.43373384413083,4.44269102743208,28079021.7109849,14.4068713351611,NA,NA
"9",2009,0.757779238621038,0.393617168249845,1.22068090235407,2.24870417324562,0.205885673732601,54.3489923493437,89.1887404720388,1.36185340091934,44.6939985553734,24.522735158154,1.23815343672231,10.2812635992543,1.46515169672524,3.8694844877108,28079022.9434381,12.8050315291208,NA,NA
"10",2010,0.773164584176596,0.357176458118548,1.07547749426842,0.839811852013623,0.209492528013999,44.270048173356,67.9872298257025,0.915988147872466,47.6597514303325,21.8407830047285,0.79819584572439,9.70222390592229,1.42575758753675,3.19850290899885,28079038.6981661,11.9919114781592,NA,NA
"11",2011,0.815215397532946,0.36781241971905,0.970224926364447,NA,0.193804632717016,44.8784352598391,82.3928002929687,NA,44.9896329373251,23.2846025794395,NA,6.92658001652096,1.43272196607911,3.55767234793503,28079037.7321618,12.2803404463579,28.1355477911262,NA
"12",2012,0.829156881758444,0.355098859961045,0.952055089190318,NA,0.187270804842764,38.6599117557368,NA,NA,41.1677796941286,23.6007172971632,NA,4.37402814514559,1.38680102852855,3.41226130492951,28079037.7553531,11.817211103443,24.757498653935,NA
"13",2013,0.713132657320941,0.328766798670272,0.811733351256655,NA,0.192556390588008,34.712641314536,NA,NA,50.0154606180965,18.3732640719194,NA,4.42007588823732,1.42309504857936,2.56715424313357,28079037.7787307,9.93628318584071,20.1723033073818,NA
"14",2014,0.682031520079207,0.368150954636527,0.47067825553699,NA,0.275455417120673,35.0417730476109,NA,NA,51.6466005374709,19.2849268054184,NA,5.02237752607842,1.40822709187735,2.7194412836119,28079037.7442578,10.618973381835,19.9525421459786,NA
"15",2015,0.757126065290277,0.366640566690619,0.495404331730131,NA,0.261630299485572,40.9875529800532,NA,NA,50.5822133021863,21.021139714828,NA,6.88233331031784,1.51273062908514,3.13842765524417,28079037.7518849,11.4749257096014,26.7560546921769,NA
"16",2016,0.632376470912413,0.354928552115541,0.374400543673264,NA,0.124331536293632,38.5588023814317,NA,NA,49.0722371656298,19.1497171846755,NA,7.69095474466131,1.37119252661076,2.56505536728296,28079037.7939054,10.3855650340266,22.0539561103282,NA
"17",2017,0.595691239183316,0.363908466746187,0.394849015806665,NA,0.127881202948044,41.5860043527133,125.330927756942,NA,48.3196866479402,19.9476661001162,NA,6.85258574012419,1.39644119091128,2.59038630445905,28079037.7511136,9.9502719950791,23.4151244828164,1.32127204221553
"18",2018,0.555767874631308,0.344393183158708,0.300465942826973,NA,0.0652457654503081,38.6221205519245,69.1166013071895,NA,44.8721513616055,13.5171031606316,NA,5.38830605679116,1.34992537755388,1.66769875196718,28079037.7568576,7.71651337350671,19.8869281045752,1.28535118251801
